Country Name,Year,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)","Population, female","Population, male","Population, total",Rural population (% of total population)
Ethiopia,2000,-0.5538831311651164,-1.5556591368784451,,-1.7874911349829514,0.021,33771001.0,0.8627146017101527,0.8623917892119192,1.3518426152100191
Ethiopia,2001,-0.3155700372134727,-1.544594094266584,,-1.6799009482649971,0.028,34778443.0,0.9372679132693802,0.9354282162287619,1.3237744739580954
Ethiopia,2002,-0.3225820407745182,-1.5627089514184394,,-1.5509105236779588,0.029,35822516.0,1.014252518816318,1.010979325867575,1.2951059446580018
Ethiopia,2003,-0.19808890893434095,-1.5345131248734187,,-1.395415217326461,0.027,36892626.0,1.0928661248162332,1.0882678519510807,1.2662873183458647
Ethiopia,2004,-0.5886388691915548,-1.5330657076346745,0.2,-1.2269619687790059,0.027,37988239.0,1.1730068925836186,1.167223651975772,1.2371684980096438
Ethiopia,2005,-0.7296072754044663,-1.4956490249971321,,-1.1034688530023753,0.032,39108666.0,1.2546059763769695,1.2477877696548492,1.2077494836493388
Ethiopia,2006,-0.492311171315556,-1.3978980374884313,0.2,-0.8996757621023058,0.027,40253816.0,1.3376721650143502,1.3299614361756862,1.1778801782529067
Ethiopia,2007,-0.13049590940035935,-1.236435487375457,,-0.6711447815554077,0.022,41435130.0,1.4226595474290866,1.4143761099537568,1.1453091266397117
Ethiopia,2008,-0.6100531384025447,-1.1656424772642744,0.2,-0.44202480363596747,0.025,42641414.0,1.5087458111119658,1.5002233230060606,1.0861709038950156
Ethiopia,2009,-0.36448813732932583,-1.0596459466502541,,-0.24922633035671046,0.025,43862438.0,1.595444292700805,1.5868977884430062,1.0261320990780671
Ethiopia,2010,0.17900059231115173,-1.007984266428252,,-0.05407186758728061,,45118351.0,1.684376319870906,1.6759259323702513,0.9647424211527352
Ethiopia,2011,-0.48472197114055793,-1.0859055229595616,6.3,0.11987868977058062,,46414501.0,1.7761222336246145,1.767788551045536,0.9023020641431082
Ethiopia,2012,-0.43772869599431535,-0.8151557031730016,,0.28636861374289085,,47729812.0,1.8691362482704672,1.8609647059412104,0.8385108340250996
Ethiopia,2013,-0.7468533009378104,-0.8521591293766566,,0.4273353182383148,,49043115.0,1.9616755969883197,1.9538308478562392,0.7762205740275134
Ethiopia,2014,-0.7744098159981405,-0.7344103156125871,,0.5777259806944345,,50377651.0,2.0553060146915914,2.047994133611199,0.712729537933589
Ethiopia,2015,-0.9144795903613437,-0.6532891843337965,0.3,0.7082870649415881,,51752044.0,2.15136444801393,2.1447839289784243,0.6481878227553692
Ethiopia,2016,-1.0627636743490867,-0.5966378035920293,0.33,0.8201965657248642,,53178203.0,2.2507525878372254,2.245073884518147,0.582445331480809
Ethiopia,2017,-1.1605646653011967,-0.604758258846013,,0.9387813700636324,,54654315.0,2.353442742409322,2.3487862595419253,0.5158022581339946
